ASIN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
古城,0.0,4.44,4.44,2.22,15.56,4.44,4.44,4.44,6.67,2.22,8.89,8.89,2.22,2.22,2.22,11.11,2.22,2.22,2.22,8.89
商铺,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文化,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
牌坊街,83.33,0.0,0.0,2.08,2.08,0.0,0.0,2.08,2.08,4.17,0.0,0.0,0.0,0.0,0.0,2.08,2.08,0.0,0.0,0.0
特产,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
美食,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
